gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
C19orf70	94	101	102	111	107	120
C19orf71	1	2	0	2	0	1
C19orf73	4	7	9	6	8	7
C19orf75	0	0	0	0	0	0
C19orf76	27	37	23	53	49	35
C19orf77	0	1	0	2	2	0
C19orf79	157	198	180	196	244	180
C19orf80	0	0	0	0	0	0
C19orf81	4	9	8	9	8	8
C1D	186	229	201	287	275	226
C1GALT1	416	453	445	439	524	448
C1GALT1C1	102	94	102	129	161	148
C1QA	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
C1QBP	2818	3182	2824	3537	3891	3197
C1QC	0	0	0	0	0	0
C1QL1	7	5	14	3	8	2
C1QL2	0	0	0	0	0	0
C1QL3	1	0	0	0	0	0
C1QL4	68	74	74	50	71	46
C1QTNF1	12	19	11	11	14	13
C1QTNF2	0	1	1	1	1	1
C1QTNF3	8	6	10	3	10	3
C1QTNF3-AMACR	0	2	1	0	2	0
C1QTNF4	0	0	1	0	0	0
C1QTNF5	0	0	0	0	0	0
C1QTNF6	49	42	50	46	54	45
C1QTNF7	0	0	0	0	0	0
C1QTNF8	6	3	2	3	3	4
C1QTNF9	0	0	0	0	0	0
C1QTNF9B	0	0	0	1	0	0
C1QTNF9B-AS1	0	1	2	1	3	1
C1R	29	26	15	5	13	9
C1RL	61	67	77	81	92	81
C1S	8	5	6	3	9	2
C1orf100	0	0	0	0	0	0
C1orf101	3	6	4	11	9	7
C1orf105	0	0	0	0	0	0
C1orf106	36	56	32	17	29	24
C1orf109	326	340	316	373	375	321
C1orf110	0	0	0	0	0	0
C1orf111	0	0	0	0	0	0
C1orf112	304	350	230	354	395	341
C1orf114	0	0	0	0	0	0
C1orf115	205	255	245	260	297	218
C1orf116	25	30	15	31	38	29
C1orf122	156	152	165	215	233	166
C1orf123	265	272	222	257	253	213
C1orf124	123	159	127	156	190	179
C1orf126	14	13	15	17	20	14
C1orf127	0	0	0	0	0	1
C1orf129	0	0	0	0	0	0
C1orf130	18	30	19	22	21	9
C1orf131	126	140	127	193	198	155
C1orf133	0	1	2	0	0	0
C1orf135	392	421	322	394	406	315
C1orf140	0	0	0	1	0	1
C1orf141	0	0	0	0	0	0
C1orf144	1819	1904	1689	2064	2420	1870
C1orf146	0	0	0	0	0	0
C1orf150	0	2	1	0	4	0
C1orf151-NBL1	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
C1orf159	84	73	72	80	112	92
C1orf162	2	3	1	1	2	0
C1orf168	0	0	0	0	1	0
C1orf170	2	1	1	1	3	1
C1orf172	114	121	123	140	153	125
C1orf173	0	0	1	1	0	0
C1orf174	453	408	326	454	566	404
C1orf177	0	1	0	2	0	0
C1orf180	0	0	0	0	0	0
C1orf182	20	7	15	10	25	21
C1orf185	0	0	0	0	0	0
C1orf186	2	1	1	0	0	2
C1orf187	13	11	20	7	4	4
C1orf189	2	0	0	1	0	0
C1orf192	1	0	0	0	0	0
C1orf194	0	2	0	0	0	0
C1orf198	356	369	304	419	509	390
C1orf200	0	0	0	0	0	0
C1orf201	83	108	83	97	136	116
C1orf204	1	2	2	0	5	3
C1orf21	94	99	80	98	111	80
C1orf210	21	30	26	28	29	25
C1orf212	158	183	135	211	239	217
C1orf213	28	23	16	36	41	27
C1orf216	151	183	147	164	210	177
C1orf220	6	5	2	5	12	5
C1orf226	100	167	127	89	121	85
C1orf227	0	0	2	0	2	1
C1orf228	0	2	3	7	3	3
C1orf229	0	0	0	0	0	0
C1orf233	68	88	76	51	92	66
C1orf27	396	438	358	483	544	450
C1orf31	110	124	117	128	171	140
C1orf35	137	116	133	155	181	149
C1orf38	124	120	122	102	110	78
C1orf43	701	804	740	946	1120	1001
C1orf49	0	1	0	0	0	0
C1orf50	58	56	37	56	63	41
C1orf51	0	1	0	1	1	0
C1orf52	374	375	327	511	628	501
C1orf53	11	6	5	11	9	6
C1orf54	11	14	6	7	13	4
C1orf55	448	464	390	413	534	375
C1orf56	3	4	0	5	3	2
C1orf61	28	23	25	19	22	24
C1orf63	196	195	180	208	213	190
C1orf64	0	0	0	0	0	0
C1orf65	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0
C1orf74	52	73	53	84	87	87
C1orf85	267	278	235	271	348	237
C1orf86	107	130	85	82	115	66
C1orf87	2	2	1	4	3	0
C1orf88	16	11	10	11	28	8
C1orf9	536	669	520	702	844	677
C1orf94	0	0	0	0	0	0
C1orf95	0	3	0	0	0	0
C1orf96	304	399	331	357	465	391
C1orf98	5	1	0	0	4	3
C2	1	3	2	1	3	3
C20orf11	333	460	373	427	500	378
C20orf111	160	175	159	155	178	170
C20orf112	51	77	62	43	57	39
C20orf118	0	0	1	1	0	0
C20orf123	0	0	0	0	0	0
C20orf132	9	7	10	6	6	3
C20orf141	0	0	0	0	0	0
C20orf144	0	0	0	1	2	2
C20orf151	4	8	9	7	7	8
C20orf152	1	0	1	1	4	1
C20orf160	6	13	5	8	4	8
C20orf166	0	0	0	0	0	0
C20orf166-AS1	0	0	0	0	0	0
C20orf173	0	0	0	0	0	0
C20orf194	130	132	98	129	144	141
C20orf195	3	5	2	2	3	1
C20orf196	13	15	17	20	13	14
C20orf197	0	0	0	1	0	0
C20orf20	417	461	423	451	505	399
C20orf201	0	0	0	0	0	0
C20orf202	4	2	1	1	1	1
C20orf203	0	0	0	0	0	1
C20orf24	63	58	34	42	45	48
C20orf26	8	12	5	5	10	5
C20orf27	235	279	213	247	268	273
C20orf29	51	56	55	66	86	69
C20orf3	873	959	833	918	1001	900
C20orf30	892	949	906	944	1163	891
C20orf4	366	426	351	494	489	450
C20orf43	720	778	748	916	1048	922
C20orf54	69	76	43	69	70	66
C20orf7	136	173	124	173	197	155
C20orf72	591	722	664	778	847	741
C20orf79	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0
C20orf94	174	178	147	175	229	165
C20orf96	124	108	111	112	146	97
C21orf119	48	61	51	85	77	71
C21orf128	0	0	0	0	0	0
C21orf15	0	0	0	0	0	0
C21orf2	41	35	33	40	59	47
C21orf33	238	253	233	271	313	239
C21orf37	0	0	0	0	0	0
C21orf49	2	3	2	13	6	5
C21orf54	2	1	0	0	0	0
C21orf56	2	0	0	0	0	1
C21orf58	41	48	58	51	53	33
C21orf59	600	713	635	793	779	628
C21orf62	0	0	0	0	0	0
C21orf63	93	102	71	109	106	114
C21orf67	31	24	28	30	28	30
C21orf7	0	0	0	0	1	0
C21orf88	1	5	6	1	0	2
C21orf90	14	14	8	14	15	11
C21orf91	304	329	278	309	362	306
C21orf91-OT1	0	2	0	1	1	0
C22orf13	398	448	391	510	615	502
C22orf15	0	0	0	0	0	0
